"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.171462841E2,6.223977117E1,2.571863860E1,1.105373688E2,1.480000019E0,4.979999924E1,3.790092468E0,2.500000000E0
2.181461681E2,6.223978453E1,2.571865251E1,1.104804931E2,1.500000000E0,4.900000000E1,3.790092468E0,2.500000000E0
2.191459581E2,6.223979726E1,2.571866434E1,1.106606164E2,1.470000029E0,4.870000076E1,3.790092468E0,2.500000000E0
2.201463328E2,6.223980982E1,2.571867766E1,1.104027514E2,1.440000057E0,4.790000153E1,3.790092468E0,2.500000000E0
2.211454207E2,6.223982253E1,2.571869424E1,1.100919083E2,1.539999962E0,4.379999924E1,3.790092468E0,2.500000000E0
2.221462448E2,6.223983521E1,2.571870728E1,1.096656473E2,1.450000048E0,4.259999847E1,3.790092468E0,2.500000000E0
2.231455670E2,6.223984654E1,2.571872228E1,1.095759336E2,1.399999976E0,3.909999847E1,3.790092468E0,2.500000000E0
2.241457692E2,6.223986104E1,2.571872755E1,1.099051664E2,1.620000005E0,1.569999981E1,3.790092468E0,2.500000000E0
2.251458123E2,6.223987387E1,2.571873119E1,1.099970934E2,1.490000010E0,1.670000076E1,3.790092468E0,2.500000000E0
2.261458735E2,6.223988312E1,2.571874706E1,1.097347710E2,1.519999981E0,4.040000153E1,3.790092468E0,2.500000000E0
2.271455779E2,6.223989334E1,2.571876246E1,1.102989262E2,1.519999981E0,2.789999962E1,3.790092468E0,2.500000000E0
2.281458018E2,6.223990620E1,2.571876168E1,1.105582724E2,1.509999990E0,1.610000038E1,3.790092468E0,2.500000000E0
2.291460905E2,6.223991964E1,2.571876371E1,1.108855512E2,1.490000010E0,1.589999962E1,3.790092468E0,2.500000000E0
2.301457830E2,6.223993184E1,2.571877926E1,1.106621710E2,1.509999990E0,2.400000000E1,3.790092468E0,2.500000000E0
2.311458008E2,6.223994480E1,2.571879239E1,1.109749239E2,1.490000010E0,2.429999924E1,3.790092468E0,2.500000000E0
2.321462486E2,6.223996184E1,2.571878208E1,1.107589912E2,1.809999943E0,3.482000122E2,3.790092468E0,2.500000000E0
2.331456223E2,6.223997587E1,2.571877430E1,1.108222927E2,1.509999990E0,3.405000000E2,3.790092468E0,2.500000000E0
2.341459405E2,6.223999044E1,2.571877220E1,1.101258292E2,1.500000000E0,3.458999939E2,3.790092468E0,2.500000000E0
2.351459211E2,6.224000498E1,2.571878776E1,1.102294768E2,1.559999943E0,1.260000038E1,3.790092468E0,2.500000000E0
2.361459379E2,6.224001862E1,2.571880357E1,1.108590639E2,1.490000010E0,1.839999962E1,3.790092468E0,2.500000000E0
2.371461639E2,6.224003231E1,2.571881921E1,1.114168125E2,1.500000000E0,1.550000000E1,3.790092468E0,2.500000000E0
2.381462733E2,6.224004681E1,2.571883365E1,1.122066172E2,1.669999957E0,1.610000038E1,3.790092468E0,2.500000000E0
2.391460745E2,6.224006030E1,2.571884274E1,1.120310279E2,1.470000029E0,8.600000381E0,3.790092468E0,2.500000000E0
2.401458586E2,6.224007444E1,2.571885159E1,1.122450874E2,1.490000010E0,8.399999619E0,3.790092468E0,2.500000000E0
2.411464033E2,6.224008824E1,2.571886832E1,1.121534222E2,1.529999971E0,1.910000038E1,3.790092468E0,2.500000000E0
2.421461105E2,6.224010191E1,2.571888186E1,1.119575696E2,1.549999952E0,1.030000019E1,3.790092468E0,2.500000000E0
2.431457854E2,6.224011544E1,2.571889104E1,1.117264993E2,1.570000052E0,7.599999905E0,3.790092468E0,2.500000000E0
2.441458108E2,6.224012923E1,2.571889207E1,1.115408389E2,1.580000043E0,3.598999939E2,3.790092468E0,2.500000000E0
2.451458591E2,6.224014255E1,2.571889514E1,1.115628198E2,1.559999943E0,6.000000000E0,3.790092468E0,2.500000000E0
2.461456639E2,6.224015492E1,2.571890240E1,1.114035871E2,1.580000043E0,1.119999981E1,3.790092468E0,2.500000000E0
2.471455074E2,6.224016795E1,2.571890796E1,1.113937688E2,1.529999971E0,7.199999809E0,3.790092468E0,2.500000000E0
2.481463403E2,6.224018091E1,2.571890774E1,1.113953025E2,1.600000024E0,3.900000095E0,3.790092468E0,2.500000000E0
2.491463384E2,6.224019412E1,2.571890523E1,1.113278665E2,1.629999995E0,2.500000000E0,3.790092468E0,2.500000000E0
2.501462633E2,6.224020619E1,2.571890365E1,1.111133962E2,1.620000005E0,6.000000238E-1,3.790092468E0,2.500000000E0
2.511460015E2,6.224021860E1,2.571890357E1,1.108182378E2,1.580000043E0,3.700000048E0,3.790092468E0,2.500000000E0
2.521462460E2,6.224023158E1,2.571890496E1,1.107442711E2,1.580000043E0,5.699999809E0,3.790092468E0,2.500000000E0
2.531460155E2,6.224024524E1,2.571890471E1,1.104705978E2,1.519999981E0,4.199999809E0,3.790092468E0,2.500000000E0
2.541459540E2,6.224025901E1,2.571890937E1,1.101167246E2,1.580000043E0,5.500000000E0,3.790092468E0,2.500000000E0
2.551461637E2,6.224027439E1,2.571891043E1,1.100634504E2,1.580000043E0,2.900000095E0,3.790092468E0,2.500000000E0
2.561457770E2,6.224028919E1,2.571890749E1,1.100581491E2,1.549999952E0,3.590000000E2,3.790092468E0,2.500000000E0
2.571456499E2,6.224030433E1,2.571890604E1,1.098751138E2,1.559999943E0,3.580000000E2,3.790092468E0,2.500000000E0
2.581456617E2,6.224031920E1,2.571889942E1,1.100335086E2,1.519999981E0,3.457999878E2,3.790092468E0,2.500000000E0
2.591459173E2,6.224033395E1,2.571889104E1,1.102692958E2,1.549999952E0,3.452999878E2,3.790092468E0,2.500000000E0
2.601455442E2,6.224034871E1,2.571888321E1,1.099517994E2,1.620000005E0,3.463999939E2,3.790092468E0,2.500000000E0
2.611457787E2,6.224036245E1,2.571887439E1,1.095164434E2,1.539999962E0,3.431000061E2,3.790092468E0,2.500000000E0
2.621462540E2,6.224037464E1,2.571886039E1,1.093597115E2,1.570000052E0,3.346000061E2,3.790092468E0,2.500000000E0
2.631455613E2,6.224038485E1,2.571884014E1,1.094202632E2,1.399999976E0,3.236000061E2,3.790092468E0,2.500000000E0
2.641456808E2,6.224039607E1,2.571881707E1,1.094631152E2,1.559999943E0,3.221000061E2,3.790092468E0,2.500000000E0
2.651460073E2,6.224040857E1,2.571879643E1,1.095205554E2,1.600000024E0,3.306000061E2,3.790092468E0,2.500000000E0
2.661460074E2,6.224042152E1,2.571878125E1,1.095082942E2,1.570000052E0,3.352000122E2,3.790092468E0,2.500000000E0
2.671454474E2,6.224043377E1,2.571876880E1,1.093404541E2,1.500000000E0,3.340000000E2,3.790092468E0,2.500000000E0
2.681455282E2,6.224044567E1,2.571876060E1,1.095788031E2,1.509999990E0,3.382000122E2,3.790092468E0,2.500000000E0
2.691456470E2,6.224045868E1,2.571875257E1,1.095178974E2,1.559999943E0,3.452000122E2,3.790092468E0,2.500000000E0
2.701456625E2,6.224047270E1,2.571875094E1,1.094065166E2,1.509999990E0,3.565000000E2,3.790092468E0,2.500000000E0
2.711461565E2,6.224048664E1,2.571875224E1,1.092004095E2,1.500000000E0,3.557000122E2,3.790092468E0,2.500000000E0
2.721458181E2,6.224050110E1,2.571875410E1,1.088722323E2,1.570000052E0,3.577000122E2,3.790092468E0,2.500000000E0
2.731460417E2,6.224051482E1,2.571875101E1,1.089107537E2,1.440000057E0,3.532000122E2,3.790092468E0,2.500000000E0
2.741459295E2,6.224052912E1,2.571874608E1,1.089592239E2,1.590000033E0,3.487000122E2,3.790092468E0,2.500000000E0
2.751457760E2,6.224054234E1,2.571873566E1,1.089036893E2,1.529999971E0,3.406000061E2,3.790092468E0,2.500000000E0
2.761459297E2,6.224055329E1,2.571871579E1,1.090528035E2,1.570000052E0,3.255000000E2,3.790092468E0,2.500000000E0
2.771456343E2,6.224056163E1,2.571868981E1,1.089448356E2,1.580000043E0,3.140000000E2,3.790092468E0,2.500000000E0
2.781458858E2,6.224057016E1,2.571866082E1,1.089604638E2,1.590000033E0,3.101000061E2,3.790092468E0,2.500000000E0
2.791457473E2,6.224057791E1,2.571863145E1,1.091256276E2,1.559999943E0,3.090000000E2,3.790092468E0,2.500000000E0
2.801456400E2,6.224058646E1,2.571860016E1,1.090423177E2,1.649999976E0,3.077999878E2,3.790092468E0,2.500000000E0
2.811454159E2,6.224059447E1,2.571856990E1,1.091158068E2,1.629999995E0,3.078999939E2,3.790092468E0,2.500000000E0
2.821463302E2,6.224060315E1,2.571853767E1,1.092355608E2,1.730000019E0,3.065000000E2,3.790092468E0,2.500000000E0
2.831456313E2,6.224061219E1,2.571850724E1,1.096539603E2,1.659999967E0,3.102999878E2,3.790092468E0,2.500000000E0
2.841454166E2,6.224062181E1,2.571847830E1,1.099705535E2,1.629999995E0,3.092000122E2,3.790092468E0,2.500000000E0
2.851460352E2,6.224063127E1,2.571844908E1,1.101548834E2,1.669999957E0,3.092000122E2,3.790092468E0,2.500000000E0
2.861456402E2,6.224064050E1,2.571842154E1,1.099674482E2,1.629999995E0,3.107999878E2,3.790092468E0,2.500000000E0
2.871457546E2,6.224064886E1,2.571839106E1,1.102935010E2,1.740000010E0,3.086000061E2,3.790092468E0,2.500000000E0
2.881457414E2,6.224065821E1,2.571836365E1,1.102137318E2,1.620000005E0,3.117000122E2,3.790092468E0,2.608460188E0
2.891457658E2,6.224066663E1,2.571833548E1,1.102864889E2,1.679999948E0,3.073999939E2,3.790092468E0,2.631065845E0
2.901456713E2,6.224067539E1,2.571830801E1,1.102403498E2,1.700000048E0,3.045000000E2,3.790092468E0,2.500000000E0
2.911456065E2,6.224068380E1,2.571828315E1,1.099902311E2,1.629999995E0,3.055000000E2,3.790092468E0,2.500000000E0
2.921459664E2,6.224069379E1,2.571825998E1,1.098983167E2,1.700000048E0,3.097000122E2,3.790092468E0,2.500000000E0
2.931459203E2,6.224070421E1,2.571823555E1,1.097878477E2,1.639999986E0,3.096000061E2,3.790092468E0,2.500000000E0
2.941463783E2,6.224071492E1,2.571821054E1,1.096273301E2,1.629999995E0,3.117999878E2,3.790092468E0,2.500000000E0
2.951461995E2,6.224072562E1,2.571818543E1,1.095275424E2,1.669999957E0,3.121000061E2,3.790092468E0,2.500000000E0
2.961459443E2,6.224073555E1,2.571816043E1,1.093645828E2,1.649999976E0,3.120000000E2,3.790092468E0,2.500000000E0
2.971462315E2,6.224074582E1,2.571813640E1,1.093764893E2,1.669999957E0,3.115000000E2,3.790092468E0,2.500000000E0
2.981455399E2,6.224075569E1,2.571811554E1,1.094356980E2,1.610000014E0,3.123999939E2,3.790092468E0,2.500000000E0
2.991460189E2,6.224076530E1,2.571808951E1,1.092021815E2,1.580000043E0,3.078999939E2,3.790092468E0,2.500000000E0
3.001458533E2,6.224077577E1,2.571806383E1,1.092043834E2,1.779999971E0,3.100000000E2,3.790092468E0,2.500000000E0
3.011459228E2,6.224078661E1,2.571803723E1,1.093993955E2,1.799999952E0,3.097999878E2,3.790092468E0,2.500000000E0
3.021462789E2,6.224079787E1,2.571801110E1,1.095472888E2,1.799999952E0,3.107999878E2,3.790092468E0,2.500000000E0
3.031458286E2,6.224080817E1,2.571798662E1,1.095107333E2,1.710000038E0,3.127000122E2,3.790092468E0,2.500000000E0
3.041454605E2,6.224081793E1,2.571796170E1,1.094629470E2,1.679999948E0,3.112999878E2,3.790092468E0,2.500000000E0
3.051463837E2,6.224082711E1,2.571793773E1,1.094860833E2,1.559999943E0,3.106000061E2,3.790092468E0,2.500000000E0
3.061456046E2,6.224083679E1,2.571791277E1,1.092549473E2,1.600000024E0,3.113999939E2,3.790092468E0,2.500000000E0
3.071455104E2,6.224084701E1,2.571788745E1,1.094448932E2,1.690000057E0,3.117000122E2,3.790092468E0,2.500000000E0
3.081460097E2,6.224085748E1,2.571786130E1,1.097635013E2,1.710000038E0,3.121000061E2,3.790092468E0,2.500000000E0
3.091456540E2,6.224086853E1,2.571783257E1,1.097943288E2,1.710000038E0,3.122999878E2,3.790092468E0,2.500000000E0
3.101455340E2,6.224087973E1,2.571780504E1,1.098308938E2,1.659999967E0,3.127999878E2,3.790092468E0,2.500000000E0
3.111463628E2,6.224088984E1,2.571777797E1,1.097461813E2,1.730000019E0,3.107000122E2,3.790092468E0,2.500000000E0
3.121455585E2,6.224090106E1,2.571775387E1,1.096917431E2,1.700000048E0,3.137999878E2,3.790092468E0,2.500000000E0
3.131458898E2,6.224091189E1,2.571773190E1,1.095997072E2,1.679999948E0,3.137000122E2,3.790092468E0,2.500000000E0
3.141455631E2,6.224092223E1,2.571770834E1,1.099178271E2,1.679999948E0,3.138999939E2,3.790092468E0,2.500000000E0
3.151455385E2,6.224093266E1,2.571768215E1,1.098573458E2,1.679999948E0,3.111000061E2,3.790092468E0,2.500000000E0
3.161455497E2,6.224094225E1,2.571765692E1,1.098378797E2,1.659999967E0,3.076000061E2,3.790092468E0,2.500000000E0
3.171455520E2,6.224095314E1,2.571763398E1,1.098065738E2,1.639999986E0,3.132000122E2,3.790092468E0,2.500000000E0
3.181455562E2,6.224096310E1,2.571760957E1,1.094260239E2,1.679999948E0,3.087000122E2,3.790092468E0,2.500000000E0
3.191455462E2,6.224097346E1,2.571758367E1,1.093085968E2,1.710000038E0,3.102999878E2,3.790092468E0,2.500000000E0
3.201462846E2,6.224098337E1,2.571755667E1,1.092841259E2,1.730000019E0,3.095000000E2,3.790092468E0,2.500000000E0
3.211463253E2,6.224099216E1,2.571753368E1,1.093573719E2,1.610000014E0,3.111000061E2,3.790092468E0,2.500000000E0
3.221464121E2,6.224100217E1,2.571751300E1,1.091739659E2,1.639999986E0,3.131000061E2,3.790092468E0,2.500000000E0
3.231455519E2,6.224101198E1,2.571749024E1,1.091372272E2,1.610000014E0,3.073999939E2,3.790092468E0,2.500000000E0
3.241458756E2,6.224102309E1,2.571746589E1,1.091146493E2,1.649999976E0,3.123999939E2,3.790092468E0,2.500000000E0
3.251461363E2,6.224103371E1,2.571744163E1,1.094197688E2,1.669999957E0,3.125000000E2,3.790092468E0,2.500000000E0
3.261461430E2,6.224104473E1,2.571741728E1,1.094084824E2,1.740000010E0,3.131000061E2,3.790092468E0,2.500000000E0
3.271455561E2,6.224105499E1,2.571739124E1,1.094174590E2,1.639999986E0,3.122000122E2,3.790092468E0,2.678817749E0
3.281461408E2,6.224106508E1,2.571736694E1,1.093306715E2,1.639999986E0,3.125000000E2,3.790092468E0,2.677298307E0
3.291455030E2,6.224107590E1,2.571734159E1,1.093929932E2,1.720000029E0,3.110000000E2,3.790092468E0,2.575330019E0
3.301463054E2,6.224108536E1,2.571731508E1,1.092969278E2,1.519999981E0,3.137000122E2,3.790092468E0,2.520368338E0
3.311461741E2,6.224109698E1,2.571728620E1,1.092708709E2,1.700000048E0,3.166000061E2,3.790092468E0,2.507808208E0
3.321460121E2,6.224110828E1,2.571726264E1,1.092704489E2,1.639999986E0,3.167999878E2,3.790092468E0,2.500000000E0
3.331459350E2,6.224111856E1,2.571723874E1,1.092224799E2,1.649999976E0,3.133999939E2,3.790092468E0,2.604594946E0
3.341456449E2,6.224113017E1,2.571721193E1,1.094762693E2,1.710000038E0,3.166000061E2,3.790092468E0,2.582515478E0
3.351456439E2,6.224114094E1,2.571718465E1,1.095215621E2,1.750000000E0,3.123999939E2,3.790092468E0,2.561810493E0
3.361460458E2,6.224115035E1,2.571715805E1,1.098553063E2,1.730000019E0,3.083999939E2,3.790092468E0,2.725246191E0
3.371461641E2,6.224116119E1,2.571713416E1,1.100427502E2,1.779999971E0,3.118999939E2,3.790092468E0,2.524110317E0
3.381455176E2,6.224117216E1,2.571711068E1,1.095018617E2,1.730000019E0,3.100000000E2,3.790092468E0,2.500000000E0
3.391456384E2,6.224118331E1,2.571708828E1,1.091659905E2,1.809999943E0,3.137000122E2,3.790092468E0,2.500000000E0
3.401460530E2,6.224119360E1,2.571706639E1,1.089453532E2,1.620000005E0,3.148999939E2,3.790092468E0,2.500000000E0
3.411460345E2,6.224120430E1,2.571704146E1,1.090331876E2,1.679999948E0,3.132999878E2,3.790092468E0,2.500000000E0
3.421457957E2,6.224121423E1,2.571701450E1,1.087645761E2,1.730000019E0,3.112999878E2,3.790092468E0,2.500000000E0
3.431456366E2,6.224122416E1,2.571699034E1,1.090086600E2,1.720000029E0,3.148999939E2,3.790092468E0,2.500000000E0
3.441455181E2,6.224123597E1,2.571696700E1,1.092330309E2,1.779999971E0,3.146000061E2,3.790092468E0,2.500000000E0
3.451460651E2,6.224124761E1,2.571694254E1,1.089415324E2,1.779999971E0,3.112999878E2,3.790092468E0,2.500000000E0
3.461459322E2,6.224125925E1,2.571691591E1,1.089306124E2,1.799999952E0,3.100000000E2,3.790092468E0,2.500000000E0
3.471457951E2,6.224126943E1,2.571689319E1,1.089741961E2,1.570000052E0,3.097999878E2,3.790092468E0,2.500000000E0
3.481456338E2,6.224128060E1,2.571686873E1,1.091125679E2,1.710000038E0,3.135000000E2,3.790092468E0,2.546174526E0
3.491463275E2,6.224129269E1,2.571684328E1,1.090725955E2,1.720000029E0,3.126000061E2,3.790092468E0,2.500000000E0
3.501456337E2,6.224130516E1,2.571681305E1,1.091080625E2,1.769999981E0,3.133999939E2,3.790092468E0,2.500000000E0
3.511458400E2,6.224131712E1,2.571678147E1,1.094598742E2,1.830000043E0,3.153999939E2,3.790092468E0,2.500000000E0
3.521458537E2,6.224132760E1,2.571675415E1,1.097140291E2,1.759999990E0,3.126000061E2,3.790092468E0,2.500000000E0
3.531459542E2,6.224133850E1,2.571672504E1,1.095491778E2,1.809999943E0,3.117000122E2,3.790092468E0,2.500000000E0
3.541458024E2,6.224134954E1,2.571669341E1,1.094360843E2,1.860000014E0,3.090000000E2,3.790092468E0,2.500000000E0
3.551456288E2,6.224136025E1,2.571666547E1,1.091602100E2,1.799999952E0,3.105000000E2,3.790092468E0,2.500000000E0
3.561456452E2,6.224137104E1,2.571663681E1,1.092788059E2,1.870000005E0,3.107000122E2,3.790092468E0,2.500000000E0
3.571455185E2,6.224138378E1,2.571661144E1,1.093103060E2,1.850000024E0,3.153999939E2,3.790092468E0,2.500000000E0
3.581455248E2,6.224139686E1,2.571658520E1,1.092066745E2,1.830000043E0,3.113999939E2,3.790092468E0,2.500000000E0
3.591456313E2,6.224140881E1,2.571655935E1,1.092051542E2,1.809999943E0,3.106000061E2,3.790092468E0,2.500000000E0
3.601459453E2,6.224142140E1,2.571653469E1,1.091805019E2,1.820000052E0,3.123999939E2,3.790092468E0,2.500000000E0
3.611460194E2,6.224143296E1,2.571651006E1,1.089233051E2,1.809999943E0,3.113999939E2,3.790092468E0,2.500000000E0
3.621461090E2,6.224144409E1,2.571648663E1,1.087203074E2,1.750000000E0,3.115000000E2,3.790092468E0,2.500000000E0
3.631454730E2,6.224145470E1,2.571646471E1,1.085087035E2,1.649999976E0,3.121000061E2,3.790092468E0,2.500000000E0
3.641458929E2,6.224146674E1,2.571643683E1,1.081413383E2,1.889999986E0,3.128999939E2,3.790092468E0,2.500000000E0
3.651455439E2,6.224147794E1,2.571641177E1,1.080193952E2,1.779999971E0,3.155000000E2,3.790092468E0,2.500000000E0
3.661455237E2,6.224148877E1,2.571638331E1,1.077475492E2,1.820000052E0,3.121000061E2,3.790092468E0,2.500000000E0
3.671458795E2,6.224149901E1,2.571635418E1,1.076782175E2,1.830000043E0,3.118999939E2,3.790092468E0,2.500000000E0
3.681460278E2,6.224150925E1,2.571632696E1,1.075634148E2,1.850000024E0,3.113999939E2,3.790092468E0,2.500000000E0
3.691463022E2,6.224151905E1,2.571629726E1,1.076066926E2,1.879999995E0,3.102999878E2,3.790092468E0,2.500000000E0
3.701463118E2,6.224152921E1,2.571626798E1,1.075023267E2,1.850000024E0,3.111000061E2,3.790092468E0,2.500000000E0
3.711462908E2,6.224154041E1,2.571623704E1,1.077633788E2,2.000000000E0,3.122000122E2,3.790092468E0,2.500000000E0
3.721461560E2,6.224155224E1,2.571621103E1,1.079043144E2,1.860000014E0,3.137000122E2,3.790092468E0,2.500000000E0
3.731458833E2,6.224156236E1,2.571618375E1,1.077933568E2,1.799999952E0,3.117000122E2,3.790092468E0,2.500000000E0
3.741458675E2,6.224157317E1,2.571615603E1,1.078703878E2,1.879999995E0,3.127000122E2,3.790092468E0,2.500000000E0
3.751459306E2,6.224158431E1,2.571612957E1,1.078721018E2,1.850000024E0,3.120000000E2,3.790092468E0,2.500000000E0
3.761462510E2,6.224159691E1,2.571610411E1,1.079635994E2,1.870000005E0,3.147999878E2,3.790092468E0,2.500000000E0
3.771455078E2,6.224160816E1,2.571607890E1,1.080588804E2,1.820000052E0,3.133999939E2,3.790092468E0,2.500000000E0
3.781455169E2,6.224161973E1,2.571605037E1,1.079836902E2,1.909999967E0,3.121000061E2,3.790092468E0,2.500000000E0
3.791458036E2,6.224163144E1,2.571602191E1,1.079512858E2,1.850000024E0,3.133999939E2,3.790092468E0,2.500000000E0
3.801457726E2,6.224164281E1,2.571599813E1,1.080718965E2,1.799999952E0,3.157999878E2,3.790092468E0,2.500000000E0
3.811456665E2,6.224165252E1,2.571597168E1,1.075209363E2,1.840000033E0,3.080000000E2,3.790092468E0,2.500000000E0
3.821455246E2,6.224166381E1,2.571594334E1,1.073316102E2,1.950000048E0,3.122000122E2,3.790092468E0,2.500000000E0
3.831457854E2,6.224167568E1,2.571591722E1,1.074413568E2,1.870000005E0,3.122000122E2,3.790092468E0,2.500000000E0
3.841455566E2,6.224168755E1,2.571589189E1,1.074468555E2,1.870000005E0,3.117999878E2,3.790092468E0,2.500000000E0
3.851462558E2,6.224169960E1,2.571586327E1,1.072365948E2,1.960000038E0,3.117000122E2,3.790092468E0,2.500000000E0
3.861460140E2,6.224171121E1,2.571583522E1,1.069284945E2,1.889999986E0,3.103999939E2,3.790092468E0,2.500000000E0
3.871454709E2,6.224172412E1,2.571580650E1,1.065729706E2,1.909999967E0,3.137999878E2,3.790092468E0,2.500000000E0
3.881463948E2,6.224173661E1,2.571577782E1,1.064325954E2,1.980000019E0,3.106000061E2,3.790092468E0,2.500000000E0
3.891461795E2,6.224174824E1,2.571575079E1,1.061490313E2,1.889999986E0,3.116000061E2,3.790092468E0,2.500000000E0
3.901460329E2,6.224176031E1,2.571571991E1,1.060776254E2,1.980000019E0,3.101000061E2,3.790092468E0,2.500000000E0
3.911463624E2,6.224177355E1,2.571569101E1,1.058347726E2,1.940000057E0,3.132000122E2,3.790092468E0,2.500000000E0
3.921460988E2,6.224178540E1,2.571566289E1,1.057220460E2,1.879999995E0,3.127999878E2,3.790092468E0,2.500000000E0
3.931456073E2,6.224179762E1,2.571563219E1,1.056936700E2,1.919999957E0,3.091000061E2,3.790092468E0,2.500000000E0
3.941454306E2,6.224181019E1,2.571560358E1,1.053831898E2,1.809999943E0,3.083999939E2,3.790092468E0,2.500000000E0
3.951459356E2,6.224182204E1,2.571557573E1,1.054709637E2,1.799999952E0,3.127999878E2,3.790092468E0,2.500000000E0
3.961460706E2,6.224183459E1,2.571554453E1,1.057715674E2,1.909999967E0,3.126000061E2,3.790092468E0,2.500000000E0
3.971461585E2,6.224184749E1,2.571551605E1,1.064696934E2,1.850000024E0,3.187000122E2,3.790092468E0,2.500000000E0
3.981454554E2,6.224185810E1,2.571548887E1,1.064353962E2,1.820000052E0,3.095000000E2,3.790092468E0,2.500000000E0
3.991463436E2,6.224186838E1,2.571546041E1,1.064859377E2,1.850000024E0,3.091000061E2,3.790092468E0,2.500000000E0
4.001463800E2,6.224187864E1,2.571543402E1,1.062855027E2,1.809999943E0,3.105000000E2,3.790092468E0,2.500000000E0
4.011454938E2,6.224188845E1,2.571540498E1,1.062442469E2,1.830000043E0,3.080000000E2,3.790092468E0,2.500000000E0
4.021456636E2,6.224189940E1,2.571537459E1,1.061038706E2,1.919999957E0,3.115000000E2,3.790092468E0,2.500000000E0
4.031462942E2,6.224191133E1,2.571534638E1,1.062970523E2,1.879999995E0,3.130000000E2,3.790092468E0,2.535965204E0
4.041457929E2,6.224192214E1,2.571531794E1,1.062311389E2,1.809999943E0,3.125000000E2,3.790092468E0,2.731639385E0
4.051456537E2,6.224193376E1,2.571528861E1,1.059905434E2,1.909999967E0,3.097000122E2,3.790092468E0,2.695156097E0
4.061461003E2,6.224194432E1,2.571526010E1,1.054989708E2,1.840000033E0,3.080000000E2,3.790092468E0,2.580887794E0
4.071459023E2,6.224195629E1,2.571523465E1,1.053926531E2,1.870000005E0,3.112000122E2,3.790092468E0,2.782299280E0
4.081463576E2,6.224196710E1,2.571520911E1,1.051857488E2,1.879999995E0,3.092000122E2,3.790092468E0,2.776712894E0
4.091463134E2,6.224197793E1,2.571518345E1,1.048896110E2,1.750000000E0,3.097999878E2,3.790092468E0,2.619520426E0
4.101459968E2,6.224198865E1,2.571515633E1,1.046032998E2,1.860000014E0,3.078999939E2,3.790092468E0,2.500000000E0
4.111459361E2,6.224200044E1,2.571512775E1,1.044477875E2,1.970000029E0,3.127999878E2,3.790092468E0,2.500000000E0
4.121463260E2,6.224201243E1,2.571510046E1,1.040723046E2,1.820000052E0,3.143999939E2,3.790092468E0,2.547033548E0
4.131459480E2,6.224202220E1,2.571507248E1,1.038915225E2,1.750000000E0,3.077999878E2,3.790092468E0,2.500000000E0
4.141456709E2,6.224203271E1,2.571504407E1,1.039307726E2,1.779999971E0,3.118999939E2,3.790092468E0,2.500000000E0
4.151459652E2,6.224204228E1,2.571501593E1,1.037679958E2,1.799999952E0,3.106000061E2,3.790092468E0,2.500000000E0
4.161459273E2,6.224205213E1,2.571499082E1,1.038025459E2,1.789999962E0,3.110000000E2,3.790092468E0,2.659127951E0
4.171454915E2,6.224206110E1,2.571496350E1,1.034213850E2,1.830000043E0,3.028999939E2,3.790092468E0,2.523411751E0
4.181456677E2,6.224207021E1,2.571493655E1,1.031378194E2,1.799999952E0,3.052000122E2,3.790092468E0,2.570290327E0
4.191459210E2,6.224207890E1,2.571490927E1,1.026759698E2,1.730000019E0,3.042000122E2,3.790092468E0,2.500000000E0
4.201461476E2,6.224208816E1,2.571488517E1,1.024150485E2,1.659999967E0,3.077999878E2,3.790092468E0,2.500000000E0
4.211461137E2,6.224209717E1,2.571485874E1,1.019389169E2,1.600000024E0,3.055000000E2,3.790092468E0,2.500000000E0
4.221461542E2,6.224210655E1,2.571483013E1,1.012878587E2,1.730000019E0,3.033999939E2,3.790092468E0,2.500000000E0
4.231461716E2,6.224211576E1,2.571480101E1,1.010122886E2,1.759999990E0,3.030000000E2,3.790092468E0,2.500000000E0
4.241458479E2,6.224212662E1,2.571477108E1,1.012988532E2,1.830000043E0,3.050000000E2,3.790092468E0,2.500000000E0
4.251455042E2,6.224213746E1,2.571474165E1,1.013550102E2,1.860000014E0,3.063999939E2,3.790092468E0,2.500000000E0
4.261454903E2,6.224214906E1,2.571471213E1,1.014198956E2,1.889999986E0,3.072999878E2,3.790092468E0,2.500000000E0
4.271456680E2,6.224215908E1,2.571468366E1,1.016764916E2,1.820000052E0,3.077999878E2,3.790092468E0,2.500000000E0
4.281458116E2,6.224216808E1,2.571465170E1,1.015343440E2,1.830000043E0,3.028999939E2,3.790092468E0,2.500000000E0
4.291463082E2,6.224217674E1,2.571461695E1,1.015494836E2,1.940000057E0,3.002000122E2,3.790092468E0,2.500000000E0
4.301461386E2,6.224218613E1,2.571458589E1,1.015383178E2,1.929999948E0,3.025000000E2,3.790092468E0,2.500000000E0
4.311460525E2,6.224219510E1,2.571455626E1,1.015290439E2,1.899999976E0,3.035000000E2,3.790092468E0,2.500000000E0
4.321461703E2,6.224220349E1,2.571452506E1,1.016003970E2,1.870000005E0,2.993999939E2,3.790092468E0,2.500000000E0
4.331464216E2,6.224221192E1,2.571449098E1,1.012688568E2,1.889999986E0,2.985000000E2,3.790092468E0,2.500000000E0
