"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.514494993E1,6.223790544E1,2.571867717E1,1.125835999E2,1.210000038E0,3.082999878E2,3.790092468E0,2.500000000E0
4.614506634E1,6.223791535E1,2.571866021E1,1.129149036E2,1.100000024E0,3.142999878E2,3.790092468E0,2.500000000E0
4.714480998E1,6.223792307E1,2.571864401E1,1.126525170E2,1.049999952E0,3.126000061E2,3.790092468E0,2.500000000E0
4.814506691E1,6.223793145E1,2.571862681E1,1.129768617E2,1.190000057E0,3.148999939E2,3.790092468E0,2.500000000E0
4.914472410E1,6.223793966E1,2.571860825E1,1.130891091E2,1.139999986E0,3.092999878E2,3.790092468E0,2.500000000E0
5.014461003E1,6.223794953E1,2.571858925E1,1.137985864E2,1.190000057E0,3.073999939E2,3.790092468E0,2.500000000E0
5.114495988E1,6.223795870E1,2.571857034E1,1.144304266E2,1.139999986E0,3.010000000E2,3.790092468E0,2.500000000E0
5.214505243E1,6.223796942E1,2.571855325E1,1.149584471E2,1.159999967E0,3.146000061E2,3.790092468E0,2.500000000E0
5.314515717E1,6.223797873E1,2.571853542E1,1.152513593E2,1.190000057E0,3.137999878E2,3.790092468E0,2.500000000E0
5.414503456E1,6.223798766E1,2.571851576E1,1.154942832E2,1.220000029E0,3.107999878E2,3.790092468E0,2.500000000E0
5.514528644E1,6.223799449E1,2.571849777E1,1.151796499E2,1.120000005E0,3.061000061E2,3.790092468E0,2.500000000E0
5.614512170E1,6.223800388E1,2.571847909E1,1.163706944E2,1.139999986E0,3.098999939E2,3.790092468E0,2.500000000E0
5.714445863E1,6.223801259E1,2.571846064E1,1.163305983E2,1.210000038E0,3.127999878E2,3.790092468E0,2.500000000E0
5.814503779E1,6.223801922E1,2.571844370E1,1.161595196E2,9.900000095E-1,3.066000061E2,3.790092468E0,2.500000000E0
5.914442201E1,6.223802742E1,2.571842543E1,1.163984760E2,1.129999995E0,3.093999939E2,3.790092468E0,2.500000000E0
6.014509716E1,6.223803523E1,2.571840520E1,1.166737479E2,1.149999976E0,3.068999939E2,3.790092468E0,2.500000000E0
6.114461388E1,6.223804428E1,2.571838702E1,1.169769138E2,1.120000005E0,3.087000122E2,3.790092468E0,2.500000000E0
6.214518873E1,6.223805332E1,2.571836679E1,1.169007460E2,1.139999986E0,3.092999878E2,3.790092468E0,2.500000000E0
6.314482753E1,6.223806107E1,2.571834860E1,1.168814623E2,1.120000005E0,3.086000061E2,3.790092468E0,2.500000000E0
6.414480623E1,6.223806790E1,2.571833136E1,1.170129350E2,1.080000043E0,3.042999878E2,3.790092468E0,2.500000000E0
6.514512326E1,6.223807505E1,2.571831337E1,1.168515001E2,1.090000033E0,3.083999939E2,3.790092468E0,2.500000000E0
6.614514227E1,6.223808279E1,2.571829429E1,1.169567281E2,1.110000014E0,3.040000000E2,3.790092468E0,2.500000000E0
6.714462029E1,6.223809180E1,2.571827748E1,1.173547427E2,1.149999976E0,3.115000000E2,3.790092468E0,2.500000000E0
6.814513997E1,6.223810102E1,2.571825964E1,1.178598740E2,1.149999976E0,3.108999939E2,3.790092468E0,2.500000000E0
6.914513789E1,6.223810830E1,2.571824392E1,1.172727192E2,1.169999957E0,3.082000122E2,3.790092468E0,2.500000000E0
7.014458216E1,6.223811476E1,2.571822821E1,1.166193407E2,1.159999967E0,3.103999939E2,3.790092468E0,2.500000000E0
7.114452221E1,6.223812392E1,2.571821451E1,1.166535860E2,1.230000019E0,3.192000122E2,3.790092468E0,2.500000000E0
7.214482523E1,6.223813221E1,2.571820234E1,1.162941542E2,1.169999957E0,3.210000000E2,3.790092468E0,2.610443115E0
7.314525122E1,6.223814091E1,2.571818966E1,1.158895566E2,1.179999948E0,3.216000061E2,3.790092468E0,2.664248228E0
7.414543586E1,6.223814996E1,2.571817789E1,1.154723249E2,1.169999957E0,3.238999939E2,3.790092468E0,2.678586245E0
7.514510606E1,6.223816081E1,2.571817230E1,1.153894454E2,1.179999948E0,3.348999939E2,3.790092468E0,2.685751200E0
7.614496841E1,6.223817250E1,2.571817148E1,1.155187249E2,1.159999967E0,3.471000061E2,3.790092468E0,2.741964817E0
7.714500685E1,6.223818441E1,2.571817989E1,1.153747508E2,1.200000048E0,6.199999809E0,3.790092468E0,2.597443819E0
7.814501763E1,6.223819595E1,2.571818682E1,1.153831812E2,1.139999986E0,3.592999878E2,3.790092468E0,2.500000000E0
7.914526408E1,6.223820649E1,2.571818811E1,1.145292448E2,1.250000000E0,3.550000000E2,3.790092468E0,2.500000000E0
8.014526351E1,6.223821497E1,2.571818533E1,1.138554827E2,1.149999976E0,3.521000061E2,3.790092468E0,2.517734289E0
8.114453263E1,6.223822570E1,2.571818913E1,1.137254846E2,1.269999981E0,1.399999976E0,3.790092468E0,2.500000000E0
8.214468872E1,6.223823764E1,2.571819798E1,1.133709392E2,1.360000014E0,1.200000000E1,3.790092468E0,2.500000000E0
8.314527580E1,6.223825030E1,2.571820920E1,1.129325932E2,1.360000014E0,1.180000019E1,3.790092468E0,2.500000000E0
8.414539226E1,6.223826281E1,2.571822208E1,1.126818083E2,1.360000014E0,1.729999924E1,3.790092468E0,2.500000000E0
8.514482137E1,6.223827529E1,2.571823584E1,1.124296195E2,1.309999943E0,1.910000038E1,3.790092468E0,2.500000000E0
8.614526018E1,6.223828734E1,2.571824786E1,1.122606214E2,1.289999962E0,1.770000076E1,3.790092468E0,2.500000000E0
8.714444679E1,6.223829969E1,2.571825869E1,1.121378269E2,1.269999981E0,1.389999962E1,3.790092468E0,2.500000000E0
8.814453741E1,6.223831252E1,2.571826893E1,1.117177914E2,1.289999962E0,1.400000000E1,3.790092468E0,2.500000000E0
8.914524116E1,6.223832597E1,2.571828171E1,1.118557400E2,1.309999943E0,1.789999962E1,3.790092468E0,2.500000000E0
9.014505012E1,6.223833895E1,2.571829532E1,1.118555657E2,1.330000043E0,1.870000076E1,3.790092468E0,2.500000000E0
9.114455314E1,6.223835107E1,2.571831141E1,1.115448442E2,1.299999952E0,2.429999924E1,3.790092468E0,2.500000000E0
9.214496616E1,6.223836381E1,2.571832605E1,1.116365278E2,1.340000033E0,2.129999924E1,3.790092468E0,2.500000000E0
9.314469158E1,6.223837555E1,2.571834208E1,1.112692264E2,1.309999943E0,2.450000000E1,3.790092468E0,2.500000000E0
9.414487548E1,6.223838905E1,2.571835805E1,1.113238012E2,1.299999952E0,2.900000000E1,3.790092468E0,2.500000000E0
9.514443033E1,6.223840410E1,2.571835835E1,1.113451116E2,1.379999995E0,2.299999952E0,3.790092468E0,2.500000000E0
9.614512705E1,6.223841680E1,2.571835528E1,1.111376607E2,1.299999952E0,3.299999952E0,3.790092468E0,2.500000000E0
9.714496746E1,6.223842906E1,2.571834337E1,1.116709925E2,1.360000014E0,3.475000000E2,3.790092468E0,2.500000000E0
9.814513366E1,6.223843985E1,2.571833210E1,1.116599509E2,1.269999981E0,3.501000061E2,3.790092468E0,2.500000000E0
9.914494715E1,6.223844893E1,2.571831996E1,1.115601631E2,1.039999962E0,3.447999878E2,3.790092468E0,2.500000000E0
1.001446305E2,6.223845998E1,2.571831694E1,1.115590710E2,1.289999962E0,7.500000000E0,3.790092468E0,2.500000000E0
1.011445143E2,6.223847003E1,2.571832732E1,1.116892658E2,1.309999943E0,2.810000038E1,3.790092468E0,2.500000000E0
1.021451546E2,6.223847915E1,2.571834290E1,1.117767969E2,1.259999990E0,3.850000000E1,3.790092468E0,2.500000000E0
1.031451308E2,6.223848735E1,2.571836269E1,1.116884243E2,1.259999990E0,4.779999924E1,3.790092468E0,2.500000000E0
1.041445039E2,6.223849737E1,2.571837943E1,1.120155190E2,1.289999962E0,3.550000000E1,3.790092468E0,2.500000000E0
1.051449658E2,6.223850793E1,2.571839629E1,1.122068107E2,1.320000052E0,3.309999847E1,3.790092468E0,2.500000000E0
1.061449163E2,6.223851886E1,2.571841153E1,1.122516793E2,1.250000000E0,3.450000000E1,3.790092468E0,2.500000000E0
1.071448557E2,6.223853243E1,2.571842280E1,1.125456336E2,1.340000033E0,2.000000000E1,3.790092468E0,2.500000000E0
1.081454128E2,6.223854669E1,2.571842595E1,1.125000492E2,1.409999967E0,4.300000191E0,3.790092468E0,2.500000000E0
1.091445572E2,6.223855955E1,2.571841646E1,1.126355545E2,1.360000014E0,3.442999878E2,3.790092468E0,2.500000000E0
1.101444491E2,6.223857084E1,2.571839518E1,1.134163216E2,1.379999995E0,3.220000000E2,3.790092468E0,2.500000000E0
1.111444415E2,6.223857997E1,2.571837242E1,1.136637010E2,1.250000000E0,3.217999878E2,3.790092468E0,2.531209946E0
1.121447705E2,6.223858745E1,2.571834859E1,1.140322953E2,1.190000057E0,3.171000061E2,3.790092468E0,2.656231642E0
